"final4$participantID","participantID","Julie_participants$participantID","notes"
1779,1779,NA,NA
1780,1780,1780,"IDs in both datasets"
1782,1782,1782,"IDs in both datasets"
1784,1784,1784,"IDs in both datasets"
1785,1785,1785,"IDs in both datasets"
1786,1786,NA,NA
1789,1789,NA,NA
1792,1792,NA,NA
1796,1796,1796,"IDs in both datasets"
1799,1799,1799,"IDs in both datasets"
1800,1800,1800,"IDs in both datasets"
1801,1801,1801,"IDs in both datasets"
1803,1803,1803,"IDs in both datasets"
1804,1804,1804,"IDs in both datasets"
1806,1806,1806,"IDs in both datasets"
1807,1807,1807,"IDs in both datasets"
1808,1808,1808,"IDs in both datasets"
1809,1809,1809,"IDs in both datasets"
1810,1810,1810,"IDs in both datasets"
1811,1811,1811,"IDs in both datasets"
1812,1812,1812,"IDs in both datasets"
1816,1816,1816,"IDs in both datasets"
1820,1820,NA,NA
1821,1821,1821,"IDs in both datasets"
1822,1822,1822,"IDs in both datasets"
1823,1823,1823,"IDs in both datasets"
1824,1824,1824,"IDs in both datasets"
1825,1825,NA,NA
1826,1826,NA,NA
1828,1828,1828,"IDs in both datasets"
1829,1829,1829,"IDs in both datasets"
1833,1833,NA,NA
1838,1838,NA,NA
1839,1839,NA,NA
1841,1841,1841,"IDs in both datasets"
1846,1846,1846,"IDs in both datasets"
1849,1849,NA,NA
1850,1850,1850,"IDs in both datasets"
1851,1851,1851,"IDs in both datasets"
1852,1852,1852,"IDs in both datasets"
1854,1854,1854,"IDs in both datasets"
1855,1855,1855,"IDs in both datasets"
1856,1856,1856,"IDs in both datasets"
1857,1857,1857,"IDs in both datasets"
1860,1860,1860,"IDs in both datasets"
1861,1861,1861,"IDs in both datasets"
1862,1862,1862,"IDs in both datasets"
1865,1865,1865,"IDs in both datasets"
1866,1866,1866,"IDs in both datasets"
1867,1867,NA,NA
1871,1871,NA,NA
1872,1872,1872,"IDs in both datasets"
1873,1873,NA,NA
1876,1876,1876,"IDs in both datasets"
1877,1877,1877,"IDs in both datasets"
1879,1879,1879,"IDs in both datasets"
1880,1880,NA,NA
1882,1882,1882,"IDs in both datasets"
1883,1883,1883,"IDs in both datasets"
1884,1884,1884,"IDs in both datasets"
1889,1889,1889,"IDs in both datasets"
1890,1890,1890,"IDs in both datasets"
1891,1891,1891,"IDs in both datasets"
1892,1892,1892,"IDs in both datasets"
1893,1893,1893,"IDs in both datasets"
1895,1895,1895,"IDs in both datasets"
1897,1897,1897,"IDs in both datasets"
1901,1901,1901,"IDs in both datasets"
1903,1903,1903,"IDs in both datasets"
1905,1905,1905,"IDs in both datasets"
1908,1908,1908,"IDs in both datasets"
1910,1910,1910,"IDs in both datasets"
1912,1912,NA,"Not included in original dataset due to server error"
1915,1915,NA,"Not included in original dataset due to server error"
1917,1917,NA,"Not included in original dataset due to server error"
1918,1918,NA,"Not included in original dataset due to server error"
1919,1919,NA,"Not included in original dataset due to server error"
1920,1920,NA,"Not included in original dataset due to server error"
1922,1922,NA,"Not included in original dataset due to server error"
1923,1923,NA,"Not included in original dataset due to server error"
1925,1925,NA,"Not included in original dataset due to server error"
1927,1927,NA,"Not included in original dataset due to server error"
1928,1928,NA,"Not included in original dataset due to server error"
1929,1929,NA,"Not included in original dataset due to server error"
1932,1932,NA,"Not included in original dataset due to server error"
1933,1933,NA,"Not included in original dataset due to server error"
1934,1934,NA,"Not included in original dataset due to server error"
1938,1938,NA,"Not included in original dataset due to server error"
1939,1939,NA,"Not included in original dataset due to server error"
1940,1940,NA,"Not included in original dataset due to server error"
1942,1942,NA,"Not included in original dataset due to server error"
1943,1943,NA,"Not included in original dataset due to server error"
1946,1946,NA,"Not included in original dataset due to server error"
1947,1947,NA,"Not included in original dataset due to server error"
1948,1948,NA,"Not included in original dataset due to server error"
1953,1953,NA,"Not included in original dataset due to server error"
1956,1956,NA,"Not included in original dataset due to server error"
1958,1958,NA,"Not included in original dataset due to server error"
1959,1959,NA,"Not included in original dataset due to server error"
1960,1960,NA,"Not included in original dataset due to server error"
1961,1961,NA,"Not included in original dataset due to server error"
1963,1963,NA,"Not included in original dataset due to server error"
1964,1964,NA,"Not included in original dataset due to server error"
1965,1965,NA,"Not included in original dataset due to server error"
1966,1966,NA,"Not included in original dataset due to server error"
1967,1967,NA,"Not included in original dataset due to server error"
1969,1969,NA,"Not included in original dataset due to server error"
1972,1972,NA,"Not included in original dataset due to server error"
NA,450,450,"Test account found after original analyses were run"
NA,701,701,"No DASSA PRE data"
NA,718,718,"Test account found after original analyses were run"
NA,756,756,"No DASSA PRE data"
NA,971,971,"Test account found after original analyses were run"
NA,973,973,"No DASSA PRE data"
NA,997,997,"No DASSA PRE data"
NA,1014,1014,"No RR PRE session data, so they were excluded from original analyses anyways"
NA,1038,1038,"No RR PRE session data, so they were excluded from original analyses anyways"
NA,1112,1112,"No DASSA PRE data"
NA,1213,1213,"Test account found after original analyses were run"
NA,1220,1220,"Test account found after original analyses were run"
NA,1222,1222,"Test account found after original analyses were run"
NA,1223,1223,"Test account found after original analyses were run"
NA,1224,1224,"Test account found after original analyses were run"
NA,1259,1259,"No DASSA PRE data"
NA,1290,1290,"No DASSA PRE data"
NA,1338,1338,"Test account found after original analyses were run"
NA,1354,1354,"No DASSA PRE data"
NA,1644,1644,"DASSA PRE score < 10"
NA,1662,1662,"No DASSA PRE data"
NA,1740,1740,"Test account found after original analyses were run"
NA,1767,1767,"No RR PRE session data, so they were excluded from original analyses anyways"
NA,1817,1817,"Test account found after original analyses were run"
NA,1818,1818,"Test account found after original analyses were run"
NA,1819,1819,"Test account found after original analyses were run"
